stop_id,stop_name,stop_lat,stop_lon,zone_id
1178,ANTÓNIO G PEREIRA I,41.488365,-8.472967,2
1179,ANTÓNIO G PEREIRA I,41.488285,-8.472849,2
1180,ANTÓNIO G PEREIRA II,41.486439,-8.475490,2
1181,ANTÓNIO G PEREIRA II,41.486385,-8.475372,2
1182,ANTÓNIO G PEREIRA III,41.483860,-8.478705,2
1183,ANTÓNIO G PEREIRA III,41.483829,-8.478622,2
1184,ANTÓNIO G PEREIRA IV (CEMITÉRIO),41.481663,-8.480472,2
1185,IGREJA III (CEMITÉRIO),41.481777,-8.481144,2
1186,MANUEL A M MOREIRA I,41.483910,-8.486719,2
1187,MANUEL A M MOREIRA I,41.483932,-8.486822,2
1188,PADRÃO (CADOI),41.484856,-8.485206,2
1190,IGREJA II (JUNTA),41.482471,-8.483770,2
1191,S PEDRO I,41.482101,-8.470968,2
1192,S PEDRO I,41.482075,-8.470878,2
1193,S PEDRO II (ESCOLA),41.479111,-8.471373,2
1194,S PEDRO II (ESCOLA),41.479130,-8.471230,2
1195,S PEDRO III,41.478794,-8.468182,2
1196,S PEDRO III,41.478848,-8.468243,2
1197,S PEDRO IV (CRUZAMENTO),41.479507,-8.465418,2
1198,S PEDRO IV (CRUZAMENTO),41.479599,-8.465280,2
1199,S PEDRO V,41.480770,-8.462978,2
1200,S PEDRO V,41.480824,-8.463012,2
1201,S MIGUEL I (LAGE),41.481159,-8.456909,2
1202,S MIGUEL I (LAGE),41.481236,-8.456852,2
1203,S MIGUEL II,41.481220,-8.451253,2
1204,S MIGUEL II,41.481293,-8.451270,2
1205,ARRANHADOURO II,41.529144,-8.471764,2
1206,ARRANHADOURO II,41.529194,-8.471661,2
1207,ASSENTO I (IGREJA),41.526775,-8.473041,2
1208,ASSENTO I (IGREJA),41.526783,-8.472908,2
1209,ASSENTO II,41.523804,-8.475588,2
1210,ASSENTO II,41.523777,-8.475500,2
1211,SANTA CECÍLIA II (CRUZAMENTO),41.518204,-8.476954,2
1212,SANTA CECÍLIA II (CRUZAMENTO),41.518185,-8.476877,2
1213,SANTA CECÍLIA III,41.516571,-8.477637,2
1214,SANTA CECÍLIA III,41.516560,-8.477535,2
1217,SANTA CECÍLIA V (FONTAINHAS),41.511875,-8.480623,2
1218,SANTA CECÍLIA V (FONTAINHAS),41.511826,-8.480577,2
1219,HUMBERTO DELGADO I (ESTAÇÃO),41.510727,-8.483751,2
1220,HUMBERTO DELGADO I (ESTAÇÃO),41.510647,-8.483796,2
1225,GUILHERME B CRUZ ,41.505096,-8.492309,2
1226,GUILHERME B CRUZ,41.505077,-8.492232,2
1227,ANTENOR B MARQUES ,41.503067,-8.494545,2
1228,ANTENOR B MARQUES ,41.503063,-8.494467,2
1229,EM - 562 I ,41.500111,-8.497098,2
1230,EM - 562 I,41.500111,-8.496995,2
1231,EM - 562 II (CENTRO SOCIAL P DAVID),41.498489,-8.500687,2
1232,EM - 562 II (CENTRO SOCIAL P DAVID),41.498493,-8.500605,2
1233,EM - 562 III ,41.495338,-8.504986,2
1234,EM - 562 III,41.495293,-8.504922,2
1235,LIBERDADE I,41.493176,-8.507918,2
1236,LIBERDADE I,41.493172,-8.507814,2
1237,LIBERDADE II ,41.491440,-8.510101,2
1238,LIBERDADE II,41.491440,-8.510018,2
1239,IGREJA ,41.490471,-8.511791,2
1240,IGREJA (CUNHA) ,41.491165,-8.512042,2
1241,LAMA,41.495522,-8.509672,2
1242,LEVEGADA (FONTENÁRIO),41.496864,-8.509112,2
1243,S MIGUEL I (QUINTÃES),41.498234,-8.511051,2
1244,S MIGUEL II (C FUTEBOL),41.499119,-8.511782,2
1245,CAL (CUNHA PORTELO),41.498489,-8.515709,2
1246,PORTELO I,41.497047,-8.515675,2
1247,PORTELO II (ESCOLA),41.495373,-8.515597,2
1248,BEIRÃO (JUNTA),41.493317,-8.513271,2
1249,IGREJA (CUNHA),41.491062,-8.512228,2
1250,LIBERDADE IV,41.489143,-8.513104,2
1251,LIBERDADE IV,41.489120,-8.513032,2
1252,DAVID O MARTINS I,41.487202,-8.514129,2
1253,DAVID O MARTINS I,41.487255,-8.514152,2
1254,DAVID O MARTINS II (IGREJA),41.487350,-8.510521,2
1255,DAVID O MARTINS II (IGREJA),41.487499,-8.511096,2
1256,JOSÉ CAROLINA,41.486900,-8.507138,2
1257,JOSÉ CAROLINA,41.486912,-8.507199,2
1264,QUINTÃES I,41.498604,-8.401151,2
1266,QUINTÃES II,41.499119,-8.399491,2
1269,NOVA PORTELA I,41.502750,-8.392065,2
1270,DOMINGOS J F BRAGA,41.528469,-8.426342,1
1271,DOMINGOS J F BRAGA,41.528500,-8.426261,1
1272,VENTOSO I,41.526993,-8.426169,1
1273,VENTOSO I,41.526978,-8.426089,1
1274,VENTOSO II,41.524693,-8.426005,1
1275,VENTOSO II,41.524708,-8.425933,1
1276,CAPELA ,41.522587,-8.426638,1
1277,CAPELA ,41.522598,-8.426552,1
1278,CACHADA I,41.520573,-8.426545,1
1279,CACHADA I,41.520580,-8.426473,1
1280,CACHADA II (LIMITE 1/2),41.518295,-8.424187,1
1281,CACHADA II (LIMITE 2/1),41.518330,-8.424123,2
1282,SANDINS,41.502842,-8.434450,2
1283,SANDINS,41.502892,-8.434470,2
1284,MAMÔA ,41.502972,-8.431956,2
1285,MAMÔA ,41.503056,-8.431981,2
1286,CARVALHAS I,41.500542,-8.427087,2
1287,CARVALHAS I,41.500496,-8.427104,2
1288,CARVALHAS II,41.499710,-8.424608,2
1289,CARVALHAS II,41.499767,-8.424594,2
1290,AMÉRICO RIBEIRO (TRANDEIRAS),41.498859,-8.421871,2
1291,AMÉRICO RIBEIRO (TRANDEIRAS),41.498974,-8.421833,2
1292,JOSÉ DUARTE II,41.498562,-8.419800,2
1293,JOSÉ DUARTE II,41.498520,-8.419807,2
1294,JOSÉ DUARTE I (CRUZAMENTO),41.498650,-8.418098,2
1295,JOSÉ DUARTE I (CRUZAMENTO),41.498608,-8.418097,2
1296,POÇA DA BÁCORA,41.501766,-8.416479,2
1297,SEBASTIÃO M LOPES,41.501347,-8.416666,2
1298,CACHADA III,41.516171,-8.423092,2
1299,CACHADA III,41.516167,-8.423022,2
1300,ALEGRIA ,41.514454,-8.422697,2
1301,ALEGRIA ,41.514450,-8.422629,2
1310,MOSTEIRO IV (MOSTEIRO TIBÃES) ,41.558369,-8.478361,2
1315,25 DE ABRIL,41.584030,-8.466053,2
1316,25 DE ABRIL,41.584057,-8.465962,2
1317,25 DE ABRIL (S ROQUE),41.582626,-8.466988,2
1319,NOSSA SENHORA MISERICÓRDIA,41.525307,-8.446294,1
1320,CORREDOURA ,41.525452,-8.442266,1
1321,ANTÓNIO MEIRA BRAGA,41.523945,-8.438476,1
1322,JOSÉ VIDAL COSTA IV,41.525909,-8.439432,1
1323,JOSÉ VIDAL COSTA III,41.526546,-8.439976,1
1324,JOSÉ VIDAL COSTA II,41.528465,-8.441048,1
1325,JOSÉ VIDAL COSTA I,41.530640,-8.441056,1
1326,BAIRRO II,41.531307,-8.453078,1
1330,VENTOSA I (CRUZEIRO),41.532608,-8.441574,1
1331,VENTOSA I (CRUZEIRO),41.532413,-8.441447,1
1332,VENTOSA II,41.531498,-8.442913,1
1333,VENTOSA II,41.531448,-8.442839,1
1334,VENTOSA III,41.530243,-8.446194,1
1335,VENTOSA III,41.530174,-8.446193,1
1336,VENTOSA IV,41.530121,-8.448009,1
1337,VENTOSA IV,41.530083,-8.447978,1
1338,BAIRRO I,41.530865,-8.451523,1
1339,BAIRRO I,41.530823,-8.451567,1
1342,VIEIROS (CABREIROS),41.544804,-8.485101,2
1355,SANTO ANDRÉ I,41.544952,-8.444824,1
1356,SANTO ANDRÉ I,41.544888,-8.444871,1
1357,SANTO ANDRÉ II,41.544895,-8.447912,1
1358,SANTO ANDRÉ II,41.544842,-8.447878,1
1359,SANTO ANDRÉ III (JUNTA),41.542507,-8.451528,1
1360,SANTO ANDRÉ III (JUNTA),41.542442,-8.451481,1
1361,SANTO ANDRÉ IV,41.542820,-8.455379,1
1362,SANTO ANDRÉ IV,41.542774,-8.455370,1
1364,SANTO ANDRÉ V (CRUZAMENTO),41.543041,-8.458370,1
1365,SANTO ANDRÉ V (CRUZAMENTO),41.543064,-8.458456,1
1366,SANTO ANDRÉ VI (ESPERANÇA NOVA),41.545059,-8.461350,1
1367,SANTO ANDRÉ VI (ESPERANÇA NOVA),41.545006,-8.461271,1
1368,GONDIZALVES (STO ANDRÉ VII-OUTEIRAL),41.544994,-8.463657,1
1369,GONDIZALVES (STO ANDRÉ VII-OUTEIRAL),41.544945,-8.463607,1
1370,ADREGÃES I,41.544456,-8.457498,1
1371,ADREGÃES I,41.544533,-8.457443,1
1372,ADREGÃES II,41.546898,-8.459910,1
1373,ADREGÃES II,41.546848,-8.459785,1
1374,ADREGÃES III,41.548069,-8.460937,1
1375,ADREGÃES III,41.548141,-8.460925,1
1376,ADREGÃES IV,41.551117,-8.460967,1
1377,ADREGÃES IV,41.551125,-8.460908,1
1378,ADREGÃES V (SOUTO),41.553535,-8.461222,1
1379,ADREGÃES V (SOUTO),41.553600,-8.461079,1
1380,S JOÃO BAPTISTA IV,41.552818,-8.458459,1
1381,S JOÃO BAPTISTA IV,41.552792,-8.458544,1
1382,S JOÃO BAPTISTA III,41.552452,-8.455902,1
1383,S JOÃO BAPTISTA III,41.552391,-8.455892,1
1384,S JOÃO BAPTISTA II,41.551601,-8.454072,1
1385,S JOÃO BAPTISTA II,41.551552,-8.454127,1
1386,PAIÓIS,41.549702,-8.449184,1
1387,PAIÓIS,41.549633,-8.449212,1
